a      | aa a
ai     | aa ai
an     | aa an
ang    | aa ang
ao     | aa ao
ba     | b  a
bai    | b  ai
ban    | b  an
bang   | b  ang
bao    | b  ao
bei    | b  ei
ben    | b  en
beng   | b  eng
bi     | b  i
bia    | b  ia
bian   | b  ian
biang  | b  iang
biao   | b  iao
bie    | b  ie
bin    | b  in
bing   | b  ing
biu    | b  iou
bo     | b  o
bong   | b  ong
bou    | b  ou
bu     | b  u
ca     | c  a
cai    | c  ai
can    | c  an
cang   | c  ang
cao    | c  ao
ce     | c  e
cei    | c  ei
cen    | c  en
ceng   | c  eng
ci     | c  iy
cong   | c  ong
cou    | c  ou
cu     | c  u
cua    | c  ua
cuai   | c  uai
cuan   | c  uan
cuang  | c  uang
cui    | c  uei
cun    | c  uen
cuo    | c  uo
cha    | ch a
chai   | ch ai
chan   | ch an
chang  | ch ang
chao   | ch ao
che    | ch e
chei   | ch ei
chen   | ch en
cheng  | ch eng
chi    | ch ix
chong  | ch ong
chou   | ch ou
chu    | ch u
chua   | ch ua
chuai  | ch uai
chuan  | ch uan
chuang | ch uang
chui   | ch uei
chun   | ch uen
chuo   | ch uo
da     | d  a
dai    | d  ai
dan    | d  an
dang   | d  ang
dao    | d  ao
de     | d  e
dei    | d  ei
den    | d  en
deng   | d  eng
der    | d  er
di     | d  i
dia    | d  ia
dian   | d  ian
diang  | d  iang
diao   | d  iao
die    | d  ie
din    | d  in
ding   | d  ing
diong  | d  iong
diu    | d  iou
dong   | d  ong
dou    | d  ou
du     | d  u
dua    | d  ua
duai   | d  uai
duan   | d  uan
duang  | d  uang
dui    | d  uei
dun    | d  uen
duo    | d  uo
e      | ee e
ei     | ee ei
en     | ee en
eng    | ee eng
er     | ee er
fa     | f  a
fai    | f  ai
fan    | f  an
fang   | f  ang
fao    | f  ao
fei    | f  ei
fen    | f  en
feng   | f  eng
fer    | f  er
fo     | f  o
fou    | f  ou
fu     | f  u
ga     | g  a
gai    | g  ai
gan    | g  an
gang   | g  ang
gao    | g  ao
ge     | g  e
gei    | g  ei
gen    | g  en
geng   | g  eng
ger    | g  er
gong   | g  ong
gou    | g  ou
gu     | g  u
gua    | g  ua
guai   | g  uai
guan   | g  uan
guang  | g  uang
gui    | g  uei
gun    | g  uen
guo    | g  uo
ha     | h  a
hai    | h  ai
han    | h  an
hang   | h  ang
hao    | h  ao
he     | h  e
hei    | h  ei
hen    | h  en
